date,year,n1,n2,n3,n4,n5,n6,div1_prize,div1_winners,url
5/7/2003,2003,1,12,13,16,36,46,0,0,https://lottery.hk/en/mark-six/results/2003-07-05
8/7/2003,2003,1,6,15,21,23,33,"24,852,015",1,https://lottery.hk/en/mark-six/results/2003-07-08
10/7/2003,2003,24,28,29,30,42,49,0,0,https://lottery.hk/en/mark-six/results/2003-07-10
12/7/2003,2003,14,17,28,31,37,43,0,0,https://lottery.hk/en/mark-six/results/2003-07-12
15/7/2003,2003,1,4,5,7,9,27,"908,250",11,https://lottery.hk/en/mark-six/results/2003-07-15
17/7/2003,2003,12,16,21,24,30,39,0,0,https://lottery.hk/en/mark-six/results/2003-07-17
19/7/2003,2003,5,7,10,23,31,34,0,0,https://lottery.hk/en/mark-six/results/2003-07-19
22/7/2003,2003,2,6,9,14,17,29,0,0,https://lottery.hk/en/mark-six/results/2003-07-22
24/7/2003,2003,18,24,26,29,30,46,0,0,https://lottery.hk/en/mark-six/results/2003-07-24
26/7/2003,2003,12,14,25,30,34,35,"34,566,180",2,https://lottery.hk/en/mark-six/results/2003-07-26
29/7/2003,2003,2,5,6,11,20,34,0,0,https://lottery.hk/en/mark-six/results/2003-07-29
31/7/2003,2003,5,15,17,18,24,47,0,0,https://lottery.hk/en/mark-six/results/2003-07-31
2/8/2003,2003,16,29,31,33,36,38,0,0,https://lottery.hk/en/mark-six/results/2003-08-02
5/8/2003,2003,2,22,39,41,42,45,0,0,https://lottery.hk/en/mark-six/results/2003-08-05
7/8/2003,2003,2,12,17,31,37,40,0,0,https://lottery.hk/en/mark-six/results/2003-08-07
9/8/2003,2003,16,17,26,28,40,42,"47,806,530",1,https://lottery.hk/en/mark-six/results/2003-08-09
12/8/2003,2003,6,9,18,26,33,38,"5,000,000",1,https://lottery.hk/en/mark-six/results/2003-08-12
14/8/2003,2003,2,11,17,18,20,27,0,0,https://lottery.hk/en/mark-six/results/2003-08-14
16/8/2003,2003,2,3,6,8,25,39,"8,222,200",1,https://lottery.hk/en/mark-six/results/2003-08-16
19/8/2003,2003,13,16,20,30,36,47,0,0,https://lottery.hk/en/mark-six/results/2003-08-19
21/8/2003,2003,9,10,18,21,36,45,"4,832,790",2,https://lottery.hk/en/mark-six/results/2003-08-21
23/8/2003,2003,8,14,31,33,36,42,0,0,https://lottery.hk/en/mark-six/results/2003-08-23
26/8/2003,2003,7,10,21,25,37,39,"9,990,710",1,https://lottery.hk/en/mark-six/results/2003-08-26
28/8/2003,2003,5,6,27,28,36,41,0,0,https://lottery.hk/en/mark-six/results/2003-08-28
30/8/2003,2003,15,16,17,22,25,28,0,0,https://lottery.hk/en/mark-six/results/2003-08-30
